BindingDB Reactant_set_id	Ligand SMILES	Ligand InChI
16	CS(=O)(=O)CCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCO)C1=O	InChI=1S/C30H44N2O6S/c1-39(37,38)21-13-5-11-19-32-27(23-25-16-8-3-9-17-25)29(35)28(34)26(22-24-14-6-2-7-15-24)31(30(32)36)18-10-4-12-20-33/h2-3,6-9,14-17,26-29,33-35H,4-5,10-13,18-23H2,1H3/t26-,27-,28+,29+/m1/s1
17	OCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCO)C1=O	InChI=1S/C30H44N2O5/c33-20-12-2-1-10-18-31-26(22-24-14-6-3-7-15-24)28(35)29(36)27(23-25-16-8-4-9-17-25)32(30(31)37)19-11-5-13-21-34/h3-4,6-9,14-17,26-29,33-36H,1-2,5,10-13,18-23H2/t26-,27-,28+,29+/m1/s1
18	CC(C)=CCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CC=C)C1=O	InChI=1S/C27H34N2O3/c1-4-16-28-23(18-21-11-7-5-8-12-21)25(30)26(31)24(19-22-13-9-6-10-14-22)29(27(28)32)17-15-20(2)3/h4-15,23-26,30-31H,1,16-19H2,2-3H3/t23-,24-,25+,26+/m1/s1
19	CC(O)CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC(C)O)C1=O	InChI=1S/C31H46N2O5/c1-23(34)13-9-11-19-32-27(21-25-15-5-3-6-16-25)29(36)30(37)28(22-26-17-7-4-8-18-26)33(31(32)38)20-12-10-14-24(2)35/h3-8,15-18,23-24,27-30,34-37H,9-14,19-22H2,1-2H3/t23?,24?,27-,28-,29+,30+/m1/s1
20	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CCCC2)C(=O)N(CC=C)[C@@H]1Cc1ccccc1	InChI=1S/C28H36N2O3/c1-2-17-29-24(18-21-11-5-3-6-12-21)26(31)27(32)25(19-22-13-7-4-8-14-22)30(28(29)33)20-23-15-9-10-16-23/h2-8,11-14,23-27,31-32H,1,9-10,15-20H2/t24-,25-,26+,27+/m1/s1
21	CS(=O)CCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCO)C1=O	InChI=1S/C30H44N2O5S/c1-38(37)21-13-5-11-19-32-27(23-25-16-8-3-9-17-25)29(35)28(34)26(22-24-14-6-2-7-15-24)31(30(32)36)18-10-4-12-20-33/h2-3,6-9,14-17,26-29,33-35H,4-5,10-13,18-23H2,1H3/t26-,27-,28+,29+,38?/m1/s1
22	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CC2)C(=O)N(CC=C)[C@@H]1Cc1ccccc1	InChI=1S/C26H32N2O3/c1-2-15-27-22(16-19-9-5-3-6-10-19)24(29)25(30)23(17-20-11-7-4-8-12-20)28(26(27)31)18-21-13-14-21/h2-12,21-25,29-30H,1,13-18H2/t22-,23-,24+,25+/m1/s1
23	OCC(O)CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC(O)CO)C1=O	InChI=1S/C31H46N2O7/c34-21-25(36)15-7-9-17-32-27(19-23-11-3-1-4-12-23)29(38)30(39)28(20-24-13-5-2-6-14-24)33(31(32)40)18-10-8-16-26(37)22-35/h1-6,11-14,25-30,34-39H,7-10,15-22H2/t25?,26?,27-,28-,29+,30+/m1/s1
24	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CCCC2)C(=O)N(CC2CCCC2)[C@@H]1Cc1ccccc1	InChI=1S/C31H42N2O3/c34-29-27(19-23-11-3-1-4-12-23)32(21-25-15-7-8-16-25)31(36)33(22-26-17-9-10-18-26)28(30(29)35)20-24-13-5-2-6-14-24/h1-6,11-14,25-30,34-35H,7-10,15-22H2/t27-,28-,29+,30+/m1/s1
25	CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CC=C)C1=O	InChI=1S/C26H34N2O3/c1-3-5-17-28-23(19-21-14-10-7-11-15-21)25(30)24(29)22(27(16-4-2)26(28)31)18-20-12-8-6-9-13-20/h4,6-15,22-25,29-30H,2-3,5,16-19H2,1H3/t22-,23-,24+,25+/m1/s1
