"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Phenylacetylglutamine","Alpha-N-Phenylacetyl-L-glutamine","HMDB0006344","92258","C04148","C1=CC=C(C=C1)CC(=O)N[C@@H](CCC(=O)N)C(=O)O","1"
"Fumarate","Fumaric acid","HMDB0000134","444972","C00122","C(=C/C(=O)O)\C(=O)O","1"
