"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"5-methyltetrahydrofolic acid","5-Methyltetrahydrofolic acid","HMDB0001396","439234","C00440","CN1C(CNC2=CC=C(C=C2)C(=O)N[C@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)NC(N)=N2","1"
"selenium","Selenium","HMDB0001349",NA,"C01529","[Se++]","1"
"L-cystine","L-Cystine","HMDB0000192","67678","C00491","N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O","1"
"Glutamic acid","Glutamic acid","HMDB0000148","33032","C00302","N[C@@H](CCC(O)=O)C(O)=O","1"
