"","total","expected","hits","Raw p","Holm p","FDR"
"Phenylalanine metabolism",10,0.0195,1,0.0194,1,1
"Butanoate metabolism",15,0.0293,1,0.029,1,1
"Glycolysis / Gluconeogenesis",26,0.0508,1,0.05,1,1
